Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 1 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 1 [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 2 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 2 [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 3 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 3 [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 4 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 4 [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 5 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 5 [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 6 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 6 [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 7 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 7 [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 8 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 8 [C](Hourly),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Hourly) 
 06/01  01:00:00,15.74,0,16.87861292,0,17.3374729,1.033333333,17.83655878,1,17.93893965,1,17.97559725,2,18.47575977,2,18.49526483,2,18.55140373,20.65868246,0,0,15,15
 06/01  02:00:00,18.15083333,0,17.65220633,0,17.71224631,1.216666667,17.78369037,1,17.80046093,1,17.80910413,2,19.15565956,2,19.17337307,2,19.22028066,21.05780926,0,0,15,15
 06/01  03:00:00,18.2,0,17.6811982,0,17.72516583,1,17.76797503,1,17.77701579,1,17.78288273,2,19.63186859,2,19.64767388,2,19.68659161,21.21505824,0,0,15,15
 06/01  04:00:00,18.25083333,0,17.68476478,0,17.71951629,1,17.75485795,1,17.76285298,1,17.76891374,1.05,19.95010114,0.9,19.9645845,0.5,19.99804517,21.30909226,0,0,15,15
 06/01  05:00:00,18.04583333,0,17.7372493,0,17.74278379,1.55,17.75692239,1.466666667,17.76140863,1.433333333,17.76665457,-1,20.16901223,-1,20.18267151,-1,20.21266843,21.38222366,0,0,15,15
 06/01  06:00:00,16.93583333,0,17.93393863,0,17.88805321,2,17.85608428,2,17.8527795,2,17.85551579,-1,20.33058947,-1,20.34363092,-1,20.37139725,21.39703956,0,0,15,15
 06/01  07:00:00,15.84583333,0,18.3342947,0,18.16460994,2,18.0517903,2,18.03594382,2,18.03459271,-1,20.45585149,-1,20.46839631,-1,20.49501986,21.40910904,0,0,15,15
 06/01  08:00:00,16.15916667,0,19.9341818,0,19.29931735,2,18.81765236,2,18.73989327,2,18.71524531,-0.7,19.20684557,-1.15,19.44148023,-1.45,19.56204735,21.59213851,0,4967.18147,11.98646249,11.93186115
 06/01  09:00:00,17.81833333,0,22.86365306,0,21.43477994,0,20.26259854,0.3,20.07694163,0.45,20.01594497,1,17.95107771,1,18.25051326,1,18.41493378,21.81195895,0,6308.717618,11.17347702,11.11888839
 06/01  10:00:00,19.45916667,0,26.70764556,0,24.23323655,-1.466666667,22.07086231,-1.266666667,21.59446097,-1.216666667,21.43041167,1.5,16.91194522,1.25,17.31937223,1.133333333,17.57381065,22.38993814,0,7665.583176,10.35154363,10.29696786
 06/01  11:00:00,20.55916667,0,31.22158128,0,28.57529774,-2,26.41760524,-2,25.9794268,-2,25.81249158,2,14.67388933,2,15.09860245,2,15.40678785,22.61111476,0,8236.68971,10.00570819,9.951141579
 06/01  12:00:00,21.65916667,0,35.54865393,0,33.23320803,-2,31.30743312,-2,30.90787082,-2,30.7408425,2,12.62758006,2,13.05779028,2,13.41604755,22.47937292,0,8246.117131,10,9.945443317
 06/01  13:00:00,22.75916667,0,37.51196388,0,36.07502841,-2,34.8316713,-2,34.56317785,-2,34.43539278,2,14.22529845,2,14.26930184,2,14.47685044,22.51441995,0,0,15,15
 06/01  14:00:00,23.3,0,39.14553753,0,38.01310521,-2,37.04837343,-2,36.83806663,-2,36.73176565,2,17.38053294,2,17.39565421,2,17.53004002,23.30645259,0,0,15,15
 06/01  15:00:00,23.605,0,39.30034221,0,38.87128835,-2,38.42629748,-2,38.31621065,-2,38.24384733,1.6,19.49053914,1.6,19.49045844,1.4,19.57649919,23.71201576,0,0,15,15
 06/01  16:00:00,24.45916667,0,37.21151235,0,37.71272538,-2,38.02157293,-2,38.06170325,-2,38.04159591,-1,20.45514403,-1,20.44791105,-1,20.50687099,23.59967994,0,0,15,15
 06/01  17:00:00,24.44083333,0,34.29378213,0,35.30048522,-2,36.05860714,-2,36.19055909,-2,36.20214202,-0.15,18.86884647,-0.55,19.21945012,-0.9,19.40822648,23.18265566,0,8246.117131,10,9.945468746
 06/01  18:00:00,23.34083333,0,31.74278604,0,32.79345806,-2,33.60666819,-2,33.75168195,-2,33.76980278,1,17.51695442,1,17.91760335,1,18.14617142,22.51418039,0,8246.117131,10,9.945458826
 06/01  19:00:00,21.68166667,0,29.01530241,0,30.19653965,-2,31.09258996,-2,31.25345639,-2,31.27832741,2,15.93204933,1.75,16.34295675,1.633333333,16.60964804,21.84157389,0,8246.117131,10,9.945444015
 06/01  20:00:00,18.87166667,0,25.45862788,0,26.92344007,-2,28.06071513,-2,28.27034739,-2,28.31252646,2,13.49473138,2,13.86485567,2,14.14964237,20.88953974,0,7219.090702,10.62201474,10.56743505
 06/01  21:00:00,15.5225,0,22.20300826,0,23.65534162,-2,24.79747178,-2,25.01108558,-2,25.05921554,2,12.68009203,2,12.94726006,2,13.20512364,20.1643686,0,4853.343043,12.05548122,12.0008788
 06/01  22:00:00,13.03583333,0,19.23678658,0,20.60512976,-2,21.69936128,-2,21.90026078,-2,21.95365043,2,14.171816,2,14.21313822,2,14.36336494,19.92369549,0,0,15,15
 06/01  23:00:00,12.505,0,17.27334218,0,18.34746893,-0.85,19.2754404,-1.2,19.42891384,-1.25,19.47435846,2,16.18114061,2,16.21006844,2,16.31186092,20.13948794,0,0,15,15
 06/01  24:00:00,13.05416667,0,16.6108675,0,17.44323866,1,18.22123641,1,18.35370993,1,18.39479364,2,17.53757524,2,17.56096897,2,17.63490654,20.40483551,0,0,15,15
