Date/Time,PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 1 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 1 [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 2 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 2 [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 3 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 3 [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 3 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 3 [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 4 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 4 [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 5 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 5 [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 6 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 6 [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 7 [](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change Node Temperature 7 [C](Hourly),PERIMETER_TOP_ZN_1_WALL_SOUTH:CondFD Phase Change State 8 [](Hourly)
 06/01  01:00:00,0,16.88805823,0,17.3455164,1.05,17.84359092,1.05,17.84359092,1,17.94584269,1,17.98288868,2,18.79409855,2,18.814547,2
 06/01  02:00:00,0,17.65985119,0,17.72091646,1.233333333,17.79337143,1.233333333,17.79337143,1,17.81049366,1,17.81970104,2,19.44449496,2,19.46298293,2
 06/01  03:00:00,0,17.68945451,0,17.73462563,1,17.77871693,1,17.77871693,1,17.78814641,1,17.79450889,1.6,19.87667022,1.45,19.89330319,1.05
 06/01  04:00:00,0,17.69360077,0,17.72962587,1,17.76628822,1,17.76628822,1,17.7746543,1,17.78114416,-1,20.15712765,-1,20.17250535,-1
 06/01  05:00:00,0,17.74651354,0,17.75331267,1.55,17.76876109,1.55,17.76876109,1.466666667,17.77359417,1.433333333,17.77921673,-1,20.34934321,-1,20.36392913,-1
 06/01  06:00:00,0,17.94347199,0,17.89890987,2,17.86826336,2,17.86826336,2,17.86529476,2,17.86837476,-1,20.49301799,-1,20.50711545,-1
 06/01  07:00:00,0,18.3433323,0,18.17514216,2,18.06377008,2,18.06377008,2,18.04827317,2,18.0472563,-1,20.60919388,-1,20.62337061,-1
 06/01  08:00:00,0,19.94314939,0,19.30947176,2,18.82890186,2,18.82890186,2,18.75140834,2,18.72702054,-0.9,19.32667845,-1.35,19.5625964,-1.65
 06/01  09:00:00,0,22.86945478,0,21.44128161,0,20.26928174,0,20.26928174,0.3,20.08364644,0.4,20.02276442,1,18.00487101,1,18.30411079,1
 06/01  10:00:00,0,26.71202517,0,24.23851679,-1.466666667,22.07748572,-1.466666667,22.07748572,-1.266666667,21.60048968,-1.216666667,21.43655409,1.4,17.0607303,1.133333333,17.47199406,1
 06/01  11:00:00,0,31.23056343,0,28.5862562,-2,26.4309256,-2,26.4309256,-2,25.99360388,-2,25.82768133,2,15.07884439,2,15.50654163,2
 06/01  12:00:00,0,35.56018063,0,33.24720889,-2,31.3241769,-2,31.3241769,-2,30.92556783,-2,30.75966312,2,13.08127408,2,13.51309996,2
 06/01  13:00:00,0,37.52537125,0,36.09140531,-2,34.85120288,-2,34.85120288,-2,34.5837474,-2,34.45711745,2,14.68254786,2,14.72695325,2
 06/01  14:00:00,0,39.16013665,0,38.03091891,-2,37.06950443,-2,37.06950443,-2,36.86023864,-2,36.75503387,2,17.80668081,2,17.82248862,2
 06/01  15:00:00,0,39.31531589,0,38.88948507,-2,38.44765945,-2,38.44765945,-2,38.33848237,-2,38.26696293,0.85,19.80099216,0.85,19.80217814,0.65
 06/01  16:00:00,0,37.22525709,0,37.72926095,-2,38.04067472,-2,38.04067472,-2,38.08145652,-2,38.06183699,-1,20.61906786,-1,20.61400813,-1
 06/01  17:00:00,0,34.30578031,0,35.31469998,-2,36.07480999,-2,36.07480999,-2,36.20724343,-2,36.21915134,-0.25,18.97282856,-0.75,19.32864812,-1.083333333
 06/01  18:00:00,0,31.75300279,0,32.80536111,-2,33.62006153,-2,33.62006153,-2,33.76542589,-2,33.78377058,1,17.58899027,1,17.98566739,1
 06/01  19:00:00,0,29.02448623,0,30.20722956,-2,31.10475071,-2,31.10475071,-2,31.26605986,-2,31.29138412,1.916666667,16.11230352,1.666666667,16.52447944,1.55
 06/01  20:00:00,0,25.46732884,0,26.93391895,-2,28.07293881,-2,28.07293881,-2,28.28308015,-2,28.32574668,2,13.6782625,2,14.04778971,2
 06/01  21:00:00,0,22.21183901,0,23.66566558,-2,24.80927909,-2,24.80927909,-2,25.02332666,-2,25.07187234,2,12.83840749,2,13.10562058,2
 06/01  22:00:00,0,19.24611978,0,20.6159602,-2,21.71200214,-2,21.71200214,-2,21.91357017,-2,21.96739703,2,14.35620224,2,14.39963164,2
 06/01  23:00:00,0,17.28545284,0,18.36033259,-0.9,19.28872428,-0.9,19.28872428,-1.2,19.4424366,-1.3,19.48835507,2,16.44516848,2,16.47608237,2
 06/01  24:00:00,0,16.61694878,0,17.45012164,1,18.22845285,1,18.22845285,1,18.36113006,1,18.40273965,2,17.8464715,2,17.87135248,2
