Date/Time,PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Hourly),PERI3_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Hourly) 
 01/20  01:00:00,20.791220521898379,8559.361365625236 
 01/20  02:00:00,20.49182755889591,8444.973040625982 
 01/20  03:00:00,20.454777637099949,8400.451967970115 
 01/20  04:00:00,20.490129679629928,8362.281288610493 
 01/20  05:00:00,20.62021316008431,11738.799858793971 
 01/20  06:00:00,20.795155437596479,9932.811333407535 
 01/20  07:00:00,20.514247442258104,0.0 
 01/20  08:00:00,20.102635161750198,0.0 
 01/20  09:00:00,20.031482933208474,0.0 
 01/20  10:00:00,20.15223074050889,0.0 
 01/20  11:00:00,20.62339154103325,8018.961902441884 
 01/20  12:00:00,21.159078936924506,6498.903810613724 
 01/20  13:00:00,21.41721457214175,5793.156766510639 
 01/20  14:00:00,21.48661496144046,5573.507229228477 
 01/20  15:00:00,21.469878086331304,5586.4267709779219 
 01/20  16:00:00,21.399498913138154,5732.251334119286 
 01/20  17:00:00,21.24193683890467,6069.228279820722 
 01/20  18:00:00,21.04066949181172,6498.564996941275 
 01/20  19:00:00,20.784846635757647,7017.013947243302 
 01/20  20:00:00,20.593464166026107,7404.243596035757 
 01/20  21:00:00,20.566553183908075,7450.602239151044 
 01/20  22:00:00,20.694753426144698,7180.782786064495 
 01/20  23:00:00,20.745034962194599,7061.33755190247 
 01/20  24:00:00,20.776032624106099,7036.871552443647 
 01/21  01:00:00,20.883189140822056,6802.410931953809 
 01/21  02:00:00,20.803573291837908,6991.946874762529 
 01/21  03:00:00,20.800262282010434,7010.166851708546 
 01/21  04:00:00,20.821203457985815,6976.75269028694 
 01/21  05:00:00,20.853296966275197,6913.765783029761 
 01/21  06:00:00,20.906058001082003,6813.94634000276 
 01/21  07:00:00,21.26450252536936,6092.4232311173059 
 01/21  08:00:00,19.037051547012756,10619.050689791085 
 01/21  09:00:00,19.44354528881511,9562.866995810138 
 01/21  10:00:00,19.781066109493087,8672.12370923587 
 01/21  11:00:00,20.017197407933815,8058.010697363139 
 01/21  12:00:00,20.187599154102167,7611.5194345571339 
 01/21  13:00:00,20.162547558682609,7598.974316581689 
 01/21  14:00:00,20.331872764055654,7208.617754934023 
 01/21  15:00:00,20.327670883442165,7184.997057863351 
 01/21  16:00:00,20.22778664292048,7400.637230926642 
 01/21  17:00:00,20.196052878372819,7484.259115201159 
 01/21  18:00:00,19.82715608895005,8270.129591141604 
 01/21  19:00:00,19.58740548704007,8805.736929189648 
 01/21  20:00:00,19.50373586272951,8989.49260395622 
 01/21  21:00:00,19.429564963526706,9145.537473794706 
 01/21  22:00:00,21.780806431101707,2534.175356275424 
 01/21  23:00:00,21.473122078074988,5135.315988911659 
 01/21  24:00:00,21.299974846933219,5772.827360151817 
