Date/Time,PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Hourly),PERI3_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Hourly),PERI3_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),BOILER_RADSYS:Boiler Electric Power [W](Hourly),HOT WATER LOOP HW SUPPLY PUMP2:Pump Electric Power [W](Hourly) 
 01/21  01:00:00,20.75992740784777,7036.916352150605,60.0,8782.191177016031,54.992337948717949 
 01/21  02:00:00,20.92249090780839,6677.29141502848,60.0,8243.960308053911,54.992337948717949 
 01/21  03:00:00,20.89421169970647,6755.180278530267,60.0,8380.169766497203,54.992337948717949 
 01/21  04:00:00,20.886676068101786,6790.089759276241,60.0,8363.549271504618,54.992337948717949 
 01/21  05:00:00,20.89567973085369,6781.290497623695,60.0,8373.24646870515,54.992337948717949 
 01/21  06:00:00,20.91971308905173,6746.036191508186,60.0,8312.7367387893,54.992337948717949 
 01/21  07:00:00,20.94586940389067,6689.739616274218,60.0,8214.788676115006,54.992337948717949 
 01/21  08:00:00,20.895971106463504,6797.28696508017,60.0,8390.688754147432,54.992337948717949 
 01/21  09:00:00,21.0877237158831,6405.9075071304209,60.0,7917.329914790852,54.992337948717949 
 01/21  10:00:00,21.45731956743911,5606.821318351351,60.0,6873.107620262599,54.992337948717949 
 01/21  11:00:00,21.652239900627654,5174.96667905,60.0,6317.603566722149,54.992337948717949 
 01/21  12:00:00,21.76453508870869,4937.27103388932,60.0,6046.469117818588,54.992337948717949 
 01/21  13:00:00,21.83405646627859,4770.501677814599,60.0,5848.978017781237,54.992337948717949 
 01/21  14:00:00,21.892366833870793,4664.483415208011,60.0,5724.018939480661,54.992337948717949 
 01/21  15:00:00,21.83085029799474,4762.24627059928,60.0,5845.0573170864749,54.992337948717949 
 01/21  16:00:00,21.606445000098878,5266.909769724322,60.0,6467.517763386286,54.992337948717949 
 01/21  17:00:00,21.663176206879326,5187.623031990679,60.0,6380.225640749041,54.992337948717949 
 01/21  18:00:00,21.687694192438636,5133.483234458474,60.0,6296.8160154279089,54.992337948717949 
 01/21  19:00:00,21.46226197750518,5635.473251008067,60.0,6924.654390322704,54.992337948717949 
 01/21  20:00:00,21.311700776207027,5959.892403666056,60.0,7332.588208385641,54.992337948717949 
 01/21  21:00:00,21.13801916878671,6311.048221117024,60.0,7793.785233713132,54.992337948717949 
 01/21  22:00:00,20.94512298138465,6689.928750196546,60.0,8246.477741361767,54.992337948717949 
 01/21  23:00:00,20.834810676975925,6902.9339497311179,60.0,8542.515234231656,54.992337948717949 
 01/21  24:00:00,20.74787823837672,7045.718948019674,60.0,8693.78338828823,54.992337948717949 
 01/22  01:00:00,20.60892210405188,7315.498957288333,60.0,9074.598950987336,54.992337948717949 
 01/22  02:00:00,20.438583903082848,7638.298122018333,60.0,9455.334741020672,54.992337948717949 
 01/22  03:00:00,20.40259556920486,7713.164984180335,60.0,9544.17274172905,54.992337948717949 
 01/22  04:00:00,20.519378461470727,7449.910980805876,60.0,9234.40745399851,54.992337948717949 
 01/22  05:00:00,20.505569339308424,7474.1277073075639,60.0,9236.776902880985,54.992337948717949 
 01/22  06:00:00,20.292156280799447,7900.034578927936,60.0,9777.709099225074,54.992337948717949 
 01/22  07:00:00,20.959605122444338,6609.866207550445,60.0,8199.44253985712,54.992337948717949 
 01/22  08:00:00,18.980336687938804,10611.851452799401,60.0,13094.018949318108,54.992337948717949 
 01/22  09:00:00,19.29289024567266,9808.90454312224,60.0,12212.326066642963,54.992337948717949 
 01/22  10:00:00,19.50850667833565,9203.475766068073,60.0,11417.421932879884,54.992337948717949 
 01/22  11:00:00,19.725111656118665,8649.371033353791,60.0,10727.09449162542,54.992337948717949 
 01/22  12:00:00,19.849710295070105,8292.656404877329,60.0,10292.384578441774,54.992337948717949 
 01/22  13:00:00,19.744777163040874,8469.190727459674,60.0,10528.362481621383,54.992337948717949 
 01/22  14:00:00,19.88818212304063,8124.708314723199,60.0,10049.243619209548,54.992337948717949 
 01/22  15:00:00,19.892845061648936,8091.362638629129,60.0,10017.15382740399,54.992337948717949 
 01/22  16:00:00,19.801271508328616,8275.491263390313,60.0,10260.794228861912,54.992337948717949 
 01/22  17:00:00,19.75553338714973,8400.198003212763,60.0,10430.415183166675,54.992337948717949 
 01/22  18:00:00,19.323297052593735,9317.196797314584,60.0,11527.192642673755,54.992337948717949 
 01/22  19:00:00,18.999221112550918,10047.094635258434,60.0,12458.21043003957,54.992337948717949 
 01/22  20:00:00,18.896794126918985,10269.810546695555,60.0,12741.946430678126,54.992337948717949 
 01/22  21:00:00,18.714178733383169,10655.033367680884,60.0,13218.84755154473,54.992337948717949 
 01/22  22:00:00,20.641995765890337,6750.238049455913,60.0,8433.584788904476,54.992337948717949 
 01/22  23:00:00,19.402070862979483,9434.987540674401,60.0,11628.771206621672,54.992337948717949 
 01/22  24:00:00,19.12687289086992,10057.005699621466,60.0,12473.614026021583,54.992337948717949 
